dru.ac.th,"HTTPSConnectionPool(host='dru.ac.th', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.dru.ac.th', port=443): Read timed out. (read timeout=2)"
dsd.go.th,"HTTPSConnectionPool(host='dsd.go.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f51c85a3370>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='dsd.go.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f51c8c0db80>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
dss.go.th,"HTTPSConnectionPool(host='dss.go.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f51cab8e790>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='dss.go.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f51cd636040>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
dsvsa.ro,"HTTPSConnectionPool(host='dsvsa.ro', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f51d1681670>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='dsvsa.ro', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f51c8592ee0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
dt.gob.cl,"HTTPSConnectionPool(host='dt.gob.cl', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.dt.gob.cl', port=443): Read timed out. (read timeout=2)"
dt.se,"HTTPSConnectionPool(host='dt.se', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1129)')))","HTTPSConnectionPool(host='www.dt.se', port=443): Read timed out. (read timeout=2)"
dubaiofw.com,"HTTPSConnectionPool(host='dubaiofw.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='dubaiofw.com', port=443): Read timed out. (read timeout=2)"
duma.gov.ru,"HTTPSConnectionPool(host='duma.gov.ru', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f51d0e808e0>, 'Connection to duma.gov.ru timed out. (connect timeout=2)'))","HTTPConnectionPool(host='duma.gov.ru', port=80): Read timed out. (read timeout=2)"
dumy.cz,"HTTPSConnectionPool(host='dumy.cz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1129)')))","HTTPSConnectionPool(host='www.dumy.cz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1129)')))"
duoc.cl,"HTTPSConnectionPool(host='duoc.cl', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f51d25a8940>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='duoc.cl', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f51d10131f0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
durban.gov.za,"HTTPSConnectionPool(host='durban.gov.za', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f51cbe61250>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='durban.gov.za', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f51d0270df0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
dusit.ac.th,"HTTPConnectionPool(host='www.dusit.ac.th', port=80): Read timed out. (read timeout=2)","HTTPConnectionPool(host='www.dusit.ac.th', port=80): Read timed out. (read timeout=2)"
dz-rs.si,"HTTPSConnectionPool(host='dz-rs.si', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f51ce7578b0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='dz-rs.si', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f51c8c29d90>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
dzs.hr,"HTTPSConnectionPool(host='dzs.hr', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f51d215db20>, 'Connection to dzs.hr timed out. (connect timeout=2)'))","HTTPConnectionPool(host='dzs.hr', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f51c8b24ac0>, 'Connection to dzs.hr timed out. (connect timeout=2)'))"
dzs.si,"HTTPSConnectionPool(host='dzs.si', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f51d0adf880>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='dzs.si', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f51cfc1f6a0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
e-aidem.com,"HTTPSConnectionPool(host='e-aidem.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f51cfb4c6a0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='e-aidem.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f51d03dcbe0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
e-beauty.lv,"HTTPSConnectionPool(host='e-beauty.lv', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='e-beauty.lv', port=443): Read timed out. (read timeout=2)"
